Entity,Code,Year,European Union and United Kingdom,China,United States,World
AI ventures,,2019.5,185629066.16666666,286746646.3333333,857957812.8333334,1437575228.3333333
Agricultural technology,,2019.5,121492174.5,21961892.833333332,452078849.8333333,656704427.8333334
Augmented or virtual reality,,2019.5,27097342.166666668,76802960.16666667,833065962.3333334,1010161965.3333334
Cybersecurity,,2019.5,200209920.83333334,986887864.0,2289687488.0,3919070367.5
Data management,,2019.5,411867419.5,1502680556.5,3773173715.1666665,6235062374.333333
Drones,,2019.5,20110291.5,12621320.0,383239686.3333333,534893400.8333333
Educational technology,,2019.5,48450768.0,1851803443.3333333,535161079.6666667,2848108626.0
"Energy, oil and gas",,2019.5,99026821.66666667,490220948.3333333,1199541940.0,1972968395.5
Entertainment,,2019.5,95396334.0,237847952.5,842560709.3333334,1362058924.1666667
Facial recognition,,2019.5,33650105.166666664,241991458.66666666,38649204.5,404069873.8333333
Financial technology,,2019.5,472965688.0,1318577632.1666667,2588036128.5,4993432365.333333
Fitness and wellness,,2019.5,74923399.0,338458650.6666667,271845475.3333333,771903924.1666666
Geospatial,,2019.5,64527354.666666664,77450341.16666667,507213699.6666667,711240927.1666666
Human Resources technology,,2019.5,294668633.0,39080776.666666664,256429339.33333334,621373788.0
Industrial automation,,2019.5,361105467.5,613529158.6666666,1178274760.1666667,2313950322.0
Insurance technology,,2019.5,305253892.5,834666298.3333334,957161044.3333334,2135729666.5
Legal technology,,2019.5,70113888.83333333,20220733.5,341937352.5,445290296.6666667
Marketing and digital ads,,2019.5,296538729.5,287126288.8333333,862849516.8333334,1573266061.3333333
Medical and healthcare,,2019.5,780764854.6666666,405156421.8333333,4281885915.6666665,5961627930.0
Music and video content,,2019.5,278659007.1666667,829737365.6666666,1083461371.8333333,2343882288.1666665
Natural Language Processing,,2019.5,79746917.83333333,521324296.1666667,672033046.0,1407015988.0
Retail,,2019.5,544617501.1666666,185284452.0,1696552979.3333333,2859238310.5
Sales enablement,,2019.5,91437987.83333333,1563208370.5,1388325383.3333333,3200545365.6666665
Semiconductors,,2019.5,154144266.16666666,270590268.6666667,329328015.0,818322216.1666666
Total,,2017.5,4436027082.2,9860868898.4,25610820051.2,45980289997.5
Venture capital,,2019.5,8456095.333333334,57987810.666666664,36382993.0,150758974.5
